project_id,project_name,project_objective
186966,ASISTIR EL FLUJO DE MIGRACIÓN MIXTA TRANSREGIONAL / CONTINENTAL HACIA EL NORTE EN COLOMBIA (DP.0675),"El proyecto busca brinda a migrantes transregionales/ continentales en tránsito hacia Norte América servicios de información y orientación con un enfoque de protección, prevención de Violencia Basada en Género (VBG), prevención de la trata y el contrabando para que puedan tomar decisiones y prevenir riesgos de protección. Además, el proyecto responderá con servicios básicos de salud, que incluyen apoyo psicosocial, provisión de equipo médico para mejorar la vigilancia epidemiológica y entrega de kits de higiene diferenciados por sexo y edad."
187513,Renforcement des mécanismes de prévention et de protection de l'enfance dans les régions de Diffa et de Maradi,"Le projet prévoit de répondre à l'ensemble des cas de protection à travers la mise en place efficiente d'une gestion de cas  répondant spécifiquement aux problématiques des violences basées sur le genre (VBG). Ce projet ciblera en priorité les populations déplacés internes et les communautés hôtes des communes de Guidam Roumdji, Diffa et N'Guigmi (13 communes). Le projet aura pour objectifs de : 
Objectif 1. Prévenir les vulnérabilités et les violences
- Act 1.1 Effectuer une étude sur les dynamiques de genre au Niger 
- Act 1.2 Mettre en place d'un monitoring continu de protection et des besoins en protection de l'enfance dans les zones d'intervention
- Act 1.3 Sensibiliser les acteurs étatiques et communautaires sur les VBG, le droit des femmes, et l'égalité des genres 
- Act 1.4  Mettre en oeuvre un renforcement de capacités des groupes de filles sur leurs droits et les mécanismes d'émancipation. 
- Act 1.5 Installer et animer 3 espaces amis d'enfant afin de toucher un maximum de vulnérabilités et d'offrir un soutien psychosocial adapté aux enfants affectés par les conflits.
- Act 1.6 : Effectuer des sessions de renforcement de la parentalité  à travers le développement de l'approche commune de SCI """"La parentalité sans violence"""". 
Objectif 2 : Renforcer la qualité de l'intervention de gestion des cas au niveau communautaire par le biais d'une prise en charge intégrée. 
Act 2.1 : Effectuer un assessment de la gestion de cas et la création d'une plateforme réunissant les acteurs concernés. 
Act 2.2. : Effectuer une analyse des besoins en protection de l'enfant ainsi qu'une analyse de la coordination entre le système formel et informel .
Act 2.3 : Prendre en charge la gestion de cas de 700 enfants à travers le financement de leur plan d'action individualisé.  Celle-ci prévoiera un soutien particulier  aux victimes des VBG afin de leur favoriser l'accès à la justice et aux soins spécialisés. 
Act 2.4 : Animer une formation sur les premiers secours psychologiques  aux acteurs communautaires et étatiques en charge de la gestion de cas.
Objectif 3. Mener un plaidoyer envers la protection des enfants : 
- Act 3.1 : Sensibiliser les populations sur la prévention de la violence faite aux filles grâce à l'animation d'émissions de radios animées par  des groupes de filles leaders s
- Act 3.2 : Animer des ateliers parents -enfants afin de provoquer un engagement contre les VBG et le mariage d'enfants.

Dans le cadre de la mise en œuvre de ce projet, un système de redevabilité humanitaire sera développé. Il s’agit succinctement de l’implémentation des activités majeures suivantes :
> Participation des enfants et communautés : Il s’agit de donner la possibilité aux enfants et aux adultes la possibilité de s’exprimer et d’influencer la prise de décision à travers les consultations, les échanges, la participation à l’analyse des besoins, la mise en œuvre des activités, le plaidoyer, le suivi et l’évaluation. Il faut également veiller à ce que la participation respecte les neuf (9) critères de participation de l’enfant.
> Selon les communes d'intervention SCI apppuiera ou redynamisera la mise en place de mécanismes de retours d'informations et de signalement. Dans les nouvelles zones d’intervention il sera nécessaire de réaliser des consultations communautaires pour les déterminer avec les populations. Ce processus sera appuyé part des session de formation du personnel et des partenaires notamment les enfants, membres des comités des retours d’informations, volontaires et comités de protection. Par ailleurs, un mécanisme de feedback adapté aux enfants sera mis en place afin de permettre aux enfants eux-mêmes de pouvoir donner leurs appréciations en tant que bénéficiaires directs. 
> Le partage de l’information relatives à SCI, au projet et aux activités sera prévu en langues et sous formats adaptés aux enfants et aux communautés de la zone d’intervention du projet. Ce partage de l’information se fera à travers le lancement du projet avec la "
189329,Emergency climate-resilient infrastructure rehabilitation and maintenance,"South Sudan has one of the world’s most under-developed infrastructures in the world. Out of the estimated 17,000 km of roads, less than two percent are paved. The country’s road density is the lowest in Africa with 15 km of road per 1,000 km of arable land. Building large-scale infrastructure is also challenging due to South Sudan’s increased vulnerability to devastating climate shocks. The average rainy season can last up to nine months. For the last three years, the country has been facing an unprecedented level of flooding which translated into the structural change of the wetlands and increasing its surface.  
The 2022 INFORM Index for risk management assesses South Sudan to be the second highest at-risk country globally after Somalia. South Sudan also ranks the highest of all 189 countries in the lack of coping capacity due to weak infrastructure and institutional capacity. It has extremely high socio-economic vulnerability and high numbers of displacements due to extreme weather events. In 2021, flooding affected 39 of the 78 counties (mainly in northern Jonglei and Unity) and, due to a lack of appropriate preventative or flood management infrastructure, has led to new displacements of over 835,000 people. 
In August 2021, Bentiu town, which has no flood water management system, began experiencing flooding and water levels peaked in October 2021. Despite the highwater levels, most IDPs from Rubkona, Guit and Koch counties sought refuge from the floods in Bentiu town. Following a series of rapid needs assessments across the country, emergency assistance has been provided to 598,957 people in the flood-affected areas. In addition to food distributions, humanitarian organizations have provided health and nutrition supplies and services; water, sanitation and hygiene services; protection services; and fishing kits for livelihood support. Similarly, a nearly catastrophic situation has also been reported in Fangak and Canal/Pigi counties where communities need to choose between physical security and food/ nutrition/ health security.

Through this project, WFP will develop critical infrastructures along main supply routes, primary dykes and community dykes in marginalized areas in Jonglei, Unity, and Upper Nile states. These areas are the most vulnerable to climate change and home to nearly 40 percent of the South Sudanese population, which has been isolated from basic needs and services (food, markets, hospitals, etc.). Other locations in Lakes or Western Equatoria States are also included in the plan due to the poor conditions of the roads and increasing humanitarian needs in the area. 

Another expected result of the project is to reduce isolation and displacement for communities. By repairing key infrastructure, communities will be protected from future shocks and have continuous access to basic necessities. Furthermore, it paves a path for already displaced communities to return to their areas of origin, in time to cultivate and rebuild their livelihoods while contributing to long term disaster risk reduction and climate adaptation.

Improving the transportation network in conjunction with other initiatives aimed at building human capacities (listed within the HRP) and labor force skills and strengthening institutions would provide the basis for a transition to economic growth. Through infrastructure projects, local youth stand better chance to get local employments thus increasing family household incomes. Lastly, in addition to facilitating efficient and cost-effective delivery of food and non-food items to various locations, improved road and river infrastructure will improve rural connectivity, promoting equity and social cohesion and ultimately contributing to peace."
184248,"Provision of primary Health care services for the Vulnerable communities in Balcad and Jowhar Districts of middle shabelle,Garasbaley and Shangani Districts of Banadir Regions, Somalia","The population of Somalia consistently experiences some of the worst health outcome indicators in the world; the average life expectancy is estimated to be 51.5 years. Somalia is among the countries with the highest rankings in infant and child mortality rates of, respectively, 76.6 and 121.5 per 1,000 live births. The maternal mortality rate (692 deaths per 100,000 live births) and the fertility rate (average of 6.9 children per woman) are also among the highest in the world, 79 per cent of all births are home delivered without skilled assistance. Overall, 99 per cent of Somali women have undergone female genital mutilation, 64 per cent of these having suffered the Pharaonic type. Overall, only 11 per cent of children aged 12-23 months are fully vaccinated, around 19 per cent of children in urban areas have received all basic vaccinations, while this is the case for less than 1 per cent of children in nomadic areas. The inadequate comprehensive and reliable epidemiological and disease information from all districts makes it difficult to ascertain the extent of gaps in service provision and burden of disease across the country and effectively plan for response among actors. The health status indicators include the coverage of DPT3 and Penta3 vaccinations among children less than 1 year old and the coverage of measles vaccination among children less than 5 years old. The health resources are measured by the presence of functional health facilities per population. For the contextual factors, the overall severe and global malnutrition and the IPC phase were used. For each indicator thresholds were established from severity 1 to 5. During the final analysis, health status was weighted at 40 per cent, health resources at 25 per cent and contextual factors at 3 per cent. Based on this methodology, it is estimated that over 6.56 million Somali people require lifesaving essential healthcare in 2022. Excess mortality in Somalia is driven primary by malnutrition, disease outbreaks (e.g., COVID-19, AWD/cholera, measles, malaria) and violence; as well as non-communicable disease including complications of pregnancy and chronic disease. These are compounded by displacement due to conflict and natural disasters and lack of preventative and curative healthcare. Since the onset of COVID-19 in March 2020 until the 4th of October 2021, a total of 19,980 cases were confirmed in Somalia with a case fatality rate of 5.6 per cent. Vaccine availability is limited, and the vaccine coverage is below 2 per cent by the end of September 2021.People most affected by absence of health care services live in inaccessible districts under control of non-state armed groups. There are no known functional health facilities or services in those districts and health needs remain unaddressed. Key informants in 48 per cent of hard-to-reach settlements assessed reported having no access of any kind of health services. Health services for host communities are scarcer in rural areas than in urban settlements. Young children, girls and women of reproductive age and persons with a disability are most at risk of dying because of a lack of access to health services. In 2022, overall health needs are likely to remain insufficiently addressed. Health services have eroded to bare minimum levels in many locations as health partners face severe funding gaps. Health service delivery in Somalia remains dependent on humanitarian partners who finance and deliver a large proportion of health care to the population. In the absence of sufficient funding there is a danger of erosion of minimum standards of care of primary health care services. Aid vision is already on the ground handling 8 health facilities 4 in middle Shabelle region and 4 in Banadir region. These facilities are providing accessible and quality primary health care services to the vulnerable communities including pregnant and lactating women, children and people living with disabilities"
187462,Offre des services de santé de la reproduction en situation de crise humanitaire,"Au cours de cette dernière décennie le Niger connait des crises humanitaires liées par l’insécurité avec déplacement des populations mais aussi liées aux aléas climatiques comme la sècheresse où les inondations ou encore des crises sanitaires comme la pandémie de la covid-19 qui sévit actuellement. Force est de constater quelle que soit la forme de la crise les femmes et les filles sont les couches sociales les plus affectées et en payent un lourd tribut quant à leurs droits d’accéder aux services de santé de la reproduction. En effet, la morbidité et la mortalité liées à la SSR sont des problèmes de santé majeurs et les personnes en situations de crise humanitaire sont souvent exposées à des risques élevés et des obstacles supplémentaires en matière d’accès aux services de SSR. L’accès aux soins de SSR est un droit et les personnes touchées par le conflit ou les catastrophes sont habilitées à bénéficier d’une protection et d’une assistance L’offre de services de SSR en temps voulu peut empêcher le décès, les maladies et le handicap liés à la grossesse non planifiée, les complications obstétricales, les violences sexuelles et d’autres formes de violences basées sur le genre, ainsi que le VIH et un large éventail de troubles de la reproduction. La santé sexuelle et reproductive (SSR) est une composante essentielle des interventions humanitaires c’est pour cela que UNFPA prévoit un ensemble d’interventions pour pallier aux conséquences évoquées ci haut d’abord par (i) l’informations des communautés des services disponibles ; (ii) le déploiement des cliniques mobiles pour toucher les zones difficiles d’accès ; (iii) le pré positionnement des kits inter agence (IARH kits) en santé de la reproduction y compris les kits post viol ; (iv) le renforcement des capacités des agents en dispositif minimum en santé de la reproduction en situation de crise et (v) l’appui en personnel qualifié pour l’offre des services de qualité. L’UNFPA se propose de faire toutes ces interventions dans les 5 régions les plus affectées par la crise humanitaire au Niger à savoir Diffa, Tillabéry, Maradi, Tahoua et Agadez."
187371,"Assurer une prise en charge holistique, adaptée et opportune aux survivantes de VGB  pour les déplacées internes, populations hotes des regions de Diffa, Tillaberi, Tahoua, et Maradi et Niamey","Le projet vise à assurer dans un cadre bien coordonné, une prise en charge holistique qualitative de proximité adaptée au sexe, à l’âge, au handicap et au statut de déplacement pour les personnes survivant(e)s de VBG et réduire les risques de Violences Sexuelles et Basées sur le Genre, les exploitations et abus sexuels chez les personnes à risque. Il cible les populations, non déplacées /hôtes , les déplacées internes, les  retournées incluant les femmes, les hommes, les filles , y compris  les adolescentes et les personnes handicapées dans les régions de Tillaberi (départements de:  Téra, Torodi, Banibangou, Oullam, Say , Tillaberi , Ayerou, Bankilaré, Abala , Flingué,  Balleyara, Gotheye) ;  Tahoua( départements de : Abalak, Bagaroua, Birnin Koni, Illela, Madaoua , Tahoua, Tchintabaraden, Tillia, Tassara ), Maradi (départements de : Guidan Roundji , Madarounfa, Maradi ville ), et Diffa( départements de Bosso, Diffa, Goudoumaria, Maine-soroa, Ngourti, N'Nguigmi)  et Niamey affectées par les crises sécuritaires et transfrontalières. Le projet mobilisera les autres acteurs humanitaires des secteurs clés, les services déconcentrés de l’Etat, les communautés incluant les femmes, les hommes, les filles, les garçons et les personnes handicapées, pour assurer une participation inclusive dans la mise en œuvre des activités de façon intégrée en veillant au caractère adaptés et opportun pour survivantes de VBG. Ainsi tout en renforçant (formation équipements, suivi) les services de prise en charge, les outils (cartographie, SOP et chemin de référencement ; messages et module de formation à jours et compréhensifs) seront développés et mis à disposition des acteurs. Les acteurs communautaires (para juristes, comités de vigilances, chefs traditionnels, radio communautaires) seront formés et dotés de supports adaptés pour mener les activités de prévention et réduction des risques de VBG et assurer l'orientation des cas selon la stratégie communautaire (information et sensibilisation et orientation vers les services disponibles de qualités sur la base de des cartographie et chemin de référencement). Un mécanisme de gestion de l'information VBG (collecte analyse et partage) basé sur le GBVIMS garantira la qualité des données des cas et des évaluations périodiques renforceront le suivi de la situation pour une réponse adaptée et opportune. Des mécanismes de feed-back et de plaintes à la portée des communautés seront mis en place et opérationnalisés afin de mieux garantir la participation des communautés tout le long du cycle du projet et renforcer la qualité des interventions. Dans ce cadre chaque trimestre des rencontres inter acteurs et bénéficiaires seront organisées au niveau de chaque département où il sera partagé les résultats les insuffisances constatées et dégager les besoins d'amélioration pour la suite. Pour la redevabilité envers les mécanismes de coordination et les partenaires (bailleurs) des réunions mensuelles de coordination au niveau national et sous nationale de l'ensemble des acteurs membres du sous cluster renforcées par des missions de suivi et appui technique de la coordination nationale du sous cluster sur le terrain permettront de faire le suivi de la qualité, la veille de la situation, des rapports et des fac-sheet seront produits et partagés chaque trimestre..  "
193078,Uganda: United Nations Children's Fund (response plan for Health and Nutrition ),United Nations Children's Fund - Health and Nutrition response for DRC Regional Plan in Uganda
193157,Uganda: United Nations Children's Fund (response plan for WASH ),"United Nations Children's Fund - WATER, SANITATION AND HYGIENE response for DRC Regional Plan in Uganda"
193066,Uganda: World Food Programme (response plan for Food Security ),World Food Programme - Food Security response for DRC Regional Plan in Uganda
193080,Uganda: World Food Programme (response plan for Health and Nutrition ),World Food Programme - Health and Nutrition response for DRC Regional Plan in Uganda
193076,Uganda: United Nations Population Fund (response plan for Health and Nutrition ),United Nations Population Fund - Health and Nutrition response for DRC Regional Plan in Uganda
193049,Uganda: United Nations Population Fund (response plan for Protection - Gender-Based Violence ),United Nations Population Fund - Protection response for DRC Regional Plan in Uganda
186632,Coordinated Action for Multi-Sector Programming in Camp and Out-of Camp Settings,Food security
184227,"Provision of Shelter and NFIs to the Conflicts and Climate Shocks affected populations in Lower Shaballe and Middle Shabelle regions, Somalia","According to the JMCNA 2021, shelter is one of the top three priority need of more than half of the entire population and of 58 percent of IDPs406. An estimated 3.7 million people need shelter and NFI assistance mainly due to poor shelter conditions, overcrowding and lack of space, poverty, and lack of security of tenure. Those in need of shelter and NFI assistance include displaced and non-displaced populations. However, IDPs, refugee returnees, refugees and asylum seekers are particularly affected as they do not have financial capacity to build adequate shelters. Conflict, drought, flooding, evictions and cyclones are the key drivers of displacement, which in turn exacerbates humanitarian shelter and NFI needs. Natural disasters are one of the main causes of displacement and therefore accelerate migration from rural to urban and peri-urban centers that started decades ago. Lower Shabelle and Middle Shabelle regions are among the most vulnerable parts of Somalia that could face the natural disasters mainly with floods at the districts along the river passing areas, like Marka, Qoryooley, Afgooye, Kurtunwaarey ( Lower Shabelle) and Jowhar and Balcad ( Middle Shabelle) of Somalia. On the droughts and locusts impacts, Baraawe and Wanla Weyn, Marka, Qoryoley ( Lower Shabelle)  and Jowhar and Balcad ( Middle Shabelle). According to the CCCM Cluster, the eviction and Armed conflicts are another factors affecting the Lower & Middle Shabelle communities and therefore an estimated of 1.8 million of IDPs (62 per cent of IDPs) are at high risk of eviction. According to AYUUB assessment on this regard, Wanla Weyn, Marka and Jowhar are the vulnerable locations compared to other parts. However, according to the Detailed Site Assessment 2021, a total of 593,058 IDPs are estimated to reside in high-risk IDP sites due to both conflict and climate related forcing factors. These informal and largely unplanned IDP settlements tend to involve particularly hazardous living conditions. A lack of tenure agreements and housing options for IDPs from minority and marginalized groups leaves them without alternative residence options. Among these population, 42 per cent of the main income-earner of the household are women. Finally, women and girls living in sub-standard and overcrowded shelters such in Km50 IDPs sites in Afgooye and Jiliyaale, Airportka, Sheikh Omar and Tawakal IDPs sites in Jowhar are particularly vulnerable. They tend not to feel safe in makeshift shelters which do not offer privacy and sufficient protection from weather elements and increase the risk of gender based violence. Over a quarter, 27 per cent, of IDPs reported that their bathing facilities are not safe as their main shelter concern. Through this HRP 2022, AYUUB will respond to the conflict and climate impacted 45,000 people with gender disaggregation of (20,000 female, 10,000 male,  7500 Girls and 7500 Boys) in Marka, Afgooye and Baraawe ( Lower Shabelle) and Jowhar and Balcad ( Middle Shabelle)with Shelter and NFIs distribution service. The mode of the distribution will be decided upon the circumstance. AYUUB will further strengthen the community feedback mechanisms through following a proper community complaint mechanisms data collection and enable the IDPs for easily access to AYUUB Hotline to deliver their complaints and their complaints will addressed timely by the respective office.   "
192794,"Iran, Islamic Republic of: World Food Programme (Food Security response)","World Food Programme - Food Security response for Afghanistan Regional Plan in Iran, Islamic Republic of"
184553,"Provision of basic and life-saving WASH services in South West, Hirshabelle States, Benadir and Galmudug region of South-Central Somalia","Somalia continued to be under crisis in 2021 with continued conflict, political instability, economic decline, increasing food insecurity, climatic shocks, disease outbreaks including COVID-19, and the worst desert locust infestation in years.. Some 5.9 million people are in need of humanitarian assistance across 74 districts in Somalia in 2021. 
The 2022 Humanitarian Needs Overview states that the high humanitarian needs in Somalia are driven by seasonal floods, severe drought conditions, acute water diarrhea/ cholera outbreaks and protracted crises, exacerbated by the COVID-19 outbreak. Drought remains the main driver of WASH needs in Somalia leading to displacement and communal conflict over water points. 
According to the WHO-UNICEF Joint Monitoring Programme (JMP) 2020, only 39 per cent of people in rural areas have access to water supply. 39 per cent of vulnerable people in Somalia do not have access to sustained, improved and safe water source for drinking and other domestic uses, while 84 per cent still walk for more than 15 minutes to the nearest water source. Due to these constraints, one in five Somalis do not have enough water per day to cover their basic needs for both drinking and domestic use. 92 per cent of the households don’t have water collection and storage containers further impacting their regular access to water. It is estimated that 1.3 million people in 24 drought hotspot locations hugely depend on water trucking during drought due to frequent breakdown or and dry-up of strategic water sources. This is quite unsustainable.
Access to improved sanitation facilities in Somalia is very low. JMCNA 2021 noted that 57 percent of households do not have access to improved sanitation facilities. Additionally, 23 per cent of people across Somalia still defecate in the open, 49 per cent of which are in rural areas. There are 1,507 IDP sites which still have less than 1 latrine per 50 individuals as per the recommended WASH Cluster minimum standards. 
Over half of all IDPs reportedly still faced challenges in terms of access to soap and hand washing facilities according to JMCNA 2021. Only 53 per cent of households across Somalia practise proper hand washing with soap and water while (39 percent) reported that they wash their hands but without soap and only 45 per cent of households have access to Menstrual Hygiene Management (MHM) material at home or can access it through their local market. 
According to the HNO 2022, the population in need of WASH services in 2022 includes approximately 1,619,415 IDPs and 4,818,944 vulnerable host communities. It's estimated that 6,058,603 people (38 per cent) in the 'Severe' category lack access to safe water and proper sanitation services and are highly vulnerable to AWD and cholera and around 379,757 people (2 percent) are in extreme condition as they access water directly from rivers and surface bonds, practice open defecation and lack access to soap and other essential hygiene materials and are susceptible to communicable diseases
Women and girls are exposed to protection risks including gender-based violence (GBV) when collecting water from too distant water sources or using unimproved overcrowded sanitation facilities which lack safety and protection features. 
CPD is targeting 24,900 people and will train gender-balanced management committees in order to avoid over reliance on unsustainable means of accessing clean water by rehabilitating strategic reliable water points. Committees will also be established to maintain clean sanitation facilities, as well as scale up hygiene promotion initiatives to help minimize AWD/cholera outbreaks during the rainy seasons. Marginalized groups will be consulted in all project phases including design and implementation and ensuring that the location, distance and access routes to the water points, latrines and distribution sites are accessible to all members of the community, including the disabled.
"
184326,Strengthening food and livelihood security of conflict and disaster affected vulnerable IDPs and host communities through support to agricultural production and cash assistance to meet their immediate basic needs.,"In the face of increasing food insecurity and the need to meet other basic urgent needs, initiatives to  address immediate food needs of the most vulnerable and food insecure population are paramount in saving lives and protecting assets of the most vulnerable. The proposed project is in-line with Humanitarian Needs Overview 2022, Food Security Cluster (FSC) priorities and objectives. The project aims at improving the ability of 66,610 vulnerable people including 41,280 IDPs and 9,991 people with disability to meet their food and basic needs and reduce consumption gaps through life-saving cash assistance and agriculture inputs. Of these 52,965 people under FSC CO1 and 13,645 people under FSC CO2. 
These households are affected by multiple shocks – including conflicts and facing wide consumption gaps, due to successive below-average agricultural and pastoral yields, and a lack of casual labour income opportunities in urban and IDP communities. Unconditional cash transfer (UCT) and agriculture input assistance will improve beneficiary household’s access to food and other basic needs, while preventing households from resorting to negative coping mechanisms which erode long-term resilience. Community and stakeholder engagement, gender sensitive vulnerability and eligibility criteria for beneficiary selection and emphasis on participation of men, women, boys and girls of different ages and other at-risk groups will improve gender equality and women’s empowerment and inclusion of marginalized population. Target population will be provided with six months of UCT totaling 3,675,965$ - based on the monthly transfer value recommended by Cash Working Group (CWG). In addition, 2,047 farmers households will be supported with agricultural inputs including seeds and tractor services through in kind and voucher and consumption support of 30$/month for 4 months. Cash for work will generate employment of 22,742 person days to create community assets.
Settlement and beneficiary targeting will follow a participatory and community-based process. To target the settlements, Concern will conduct stakeholder consultations and key informants interview at regional and district level. Village Relief Committees (VRC) with average 8 to 10 members in each comprising both men and women, including representatives from marginalized population groups will be established (or existing ones mobilized) and receive information on the project and the beneficiary selection process. VRCs will lead community based participatory beneficiary selection process, this will also help project to empower participating communities – including women in decision making. A key component in the beneficiary selection criteria will be gender, age and disability considerations. 
In line with Concern’s approach and quality standard for Cash and Voucher based assistance and Accountability to Affected Populations, Concern will disseminate information on its Complaints Response Mechanism (CRM) channels during sensitization to ensure that beneficiaries, target communities and project stakeholders are fully aware of and are able to raise any feedback or issues of concern for timely action. Concern’s independent Monitoring, Evaluation, Accountability and Learning (MEAL) unit will regularly monitor the project and will conduct Post Distribution Monitoring (PDM).
Concern with its local NGO partners is implementing both emergency response and longer term programmes in proposed districts in this project. The proposed project will further leverage upon Concern’s efforts and strengthen envisaged resilience outcomes in the target districts, while providing the project with opportunity to ensure convergence and integration while addressing the underlying causes of vulnerability – including gender inequalities and poverty."
184178,"Improving access to quality emergency and essential lifesaving health services for crisis affected populations in Hobyo, Abduwak, Afgooye, Beletwayne and Wadajiir districts","It is estimated that over 6.56 million Somali people require lifesaving essential healthcare in 2022. Excess mortality in Somalia is driven primary by malnutrition, disease outbreaks (e.g., COVID-19, AWD/cholera, measles, malaria) and violence; as well as non-communicable disease including complications of pregnancy and chronic disease. 
In 2022, overall health needs are likely to remain insufficiently addressed. Health services have eroded to bare minimum levels in many locations as health partners face severe funding gaps. Health service delivery in Somalia remains dependent on humanitarian partners who finance and deliver a large proportion of health care to the population. In the absence of sufficient funding there is a danger of erosion of minimum standards of care of primary health care services. Cholera is endemic and seasonal spikes have been identified during rainy seasons, along riverbanks and in locations with high number of IDPs and where access to clean water and sanitation are limited. Oral cholera vaccination (OCV) in hot spot districts to protect vulnerable population against cholera has not been implemented in 2020 and 2021 as public health response efforts focused on COVID-19. As expected with the low measles vaccination coverage rates measles outbreaks continue to occur. There is an urgent need to increase routine vaccination and implement campaigns to ensure vaccination coverage of those children never vaccinated.
CESVI will deliver lifesaving emergency health services including maternal, neonatal and child health through 7 static Health facilities (Elgula, Galbarwaaqo, Abudwaaq, Elasha, Jazeera, Wadajir, Halane) and 4 mobile health clinics (Hobyo, Beletwayne, Elasha and Jazeera). CESVI has a strong presence in all the target locations implementing long term project in different sectors. This action will address endemic diseases like pneumonia, anemia, AWD and ARI which are the leading causes of infant and child mortality in the target villages. The Action will provide primary and referral health care, with special attention to maternal and child health, including basic emergency obstetric care (BEmONC) and EPI Emphasis will be laid on application of standard treatment guidelines as per EPHS at PHC. Health mobile clinics will serve IDP camps and villages in the far villages to deliver quality primary health care services to populations without a static MCH in close proximity. Moreover, Health facilities will be equipped (after minor rehabilitations) with essential drugs, vaccines and post- rape treatment drugs including medical equipment. Further, this intervention will enhance a referral system from primary to secondary health services and TB services and from nutrition to health services and vice versa. Community Health Workers (CHW) will be engaged to actively act as first responders for health and nutrition issues playing a key role in the referral system ensuring better access to health care services for the population to prevent AWD/cholera epidemic outbreak, hygiene promotion campaigns will be organized regularly throughout the action within the target villages. Cesvi will also integrate surveillance and emergency preparedness ensuring adequate stocks for epidemic outbreaks of AWD/Cholera and measles are prepositioned. Moreover, Personal Protective Equipment (PPEs) will be purchased for frontline Health workers as a measure for infection prevention and control (IPC) at service provision points. The project will also undertake confidential identification of GBV survivors for provision of comprehensive care, CMR and psychosocial support in-line with IASC MHPSS standard. The project will provide trainings targeting thematic areas such ANC and BEmONC, drugs consumption and GBV/Protection mainstreaming among others. Joint supportive supervision will also be undertaken with MoH as per of efforts to build their capacity. Health service is integrated with the nutrition being in the same target locations
"
184298,Emergency Nutrition Intervention project in El-Afwein of Sanaag Region,"The project overall objects is to address the humanitarian challenges of a classified affected hard to reach populations in El-Afwein of Sanaag Region. Sanaag have the highest infant mortality rate, 51 deaths per one thousand live births and U5 mortality rate is 76 per thousand live births. The situation is worse in El-Afwein, Erigavo and Las’anod because of a fewer health facilities, recurrent climate-related shocks and political instability, risks to crop production and food access are key drivers of food insecurity and malnutrition. Lower than expected and delayed Deyr and Gu’ rainfall and desert locust swamps severed crop production and pasture worsened by significant increase of food prices and 10-20 percent decline of remittance all contributed to food insecurity of local people.  A recent assessment carried out by HEAL, shows that most rural health facilities are not with enough staff, supplies and equipment.
Malnutrition is widespread driven by the above multiple factors. GAM prevalence is Alert in El-Afwein and Erigavo (9.9% and 8.6% respectively). Approximately 10,000 U5 children and 3,600 PLW are likely to be moderately malnourished, including 1,400 to be severely malnourished. 
To avoid deterioration, this proposal calls for durable solutions to prevent and treat malnutrition, including focus on gender inequality, addressing of poor hygiene and anti-discriminatory measures, immunisation coverage, accessibility and accountability of services to direct beneficiaries.
This will be achieved through recruiting and training Emergency nutrition teams on standard Somalia IMAM and IYCF tools with the purpose of early detection and treatment of under 5 children with moderate and severe acute malnutrition. Thereafter, the project will help and give integrated services including screening, identifying, and treating and referring children with moderate and severe acute malnutrition. The pregnant/lactating women will receive multiple micro-nutrient supplementation, while benefiting Infant Young Child Feeding (IYCF) counselling services. Breastfeeding promotion is provided throughout the course of the project. Children and mothers by referring to the nearest Health facility. In protection mainstreaming, HEAL fully involves IDPs, including from marginalised communities in the design, implementation, monitoring and evaluation of the projects.
1. The project will support 4 mobile teams in El-Afwein District with linkage to existing health facilities of El-Afwein MCH, Garadag MCH, Huluul MCH. 2. The identification, referral and treatment of 5,605(6-59 months) children suffering from acute malnutrition through OTP/TSFP and community based approaches. 3. The project will strengthen local technical capacity for integration of Integrated Management of Acute Malnutrition (IMAM) into the Primary Health Care system through utilisation of Basic Nutrition Services Package (BNSP). 3. Strengthening supply chain management, well-trained health workers, financing, and use of existing community based nutrition programs in order to scale-up prevention, early identification and treatment of acute malnutrition of children and Pregnant and Lactating (PLW). 4. Service delivered will be Maternal and child nutrition components including IMAM, IYCF, NHHP, referral system, Ready to Use Therapeutic Food (RUTF) supplies, mitigation of COVID-19, nutrition surveillance and as well as mobilising, educating and creating demand for service uptake. 5. Preventive measures are, de-worming, counselling and promotion on infant and young child feeding including Infant and Young Child Feeding (IYCF) in emergencies. Community mobilisation, screening and referral, micro-nutrient supplementation for PLW (multiple micro-nutrients and Iron Folate), Expanded Program on Immunisation (EPI) and U5 (Vitamin A supplements) for children reinforced with Communication for development (C4D). Also Personal protection of staff using PPE. 6. Prevention services will include COVID-19."
