project_id,project_name,project_objective
50930,"Provision of Humanitarian Water, Sanitation and Hygiene Assistance to Children, Women and Men Impacted by the Armed Conflict in Iraq","To reduce morbidity and mortality associated with WASH services among people affected by the ongoing crisis in Iraq through: 
• Timely provision of appropriate quantity and quality of water to affected households
• Timely provision of appropriate quality and quantity of toilets and showers to affected households
• Support to collection and disposal of solid waste and safe management of sewage and grey water in and outside camps
• Hygiene promotion through dissemination of key messages and distribution of hygiene items in affected communities  
• support governorates' authorities for construction/rehabilitation and maintenance of WASH facilities and quality control services at health facilities in vulnerable locations
• Support governorates' authorities for construction/rehabilitation and maintenance of WASH facilities and quality control services at schools and CFS in vulnerable locations.
• Provision of technical and financial support to WASH partners in most vulnerable deprived communities.

Note:
""""This project covers the following subsets of the WASH Cluster appeal: First line response (30% of budget), Second Line Response (60% of budget) and Full Cluster Response (10% of budget)""""."
49089,"Protecting girls, boys, and women affected by conflict, GBV, child protection risks, and other emergencies in South Sudan","Obj. 1: Prevention-oriented programming is ongoing in counties heavily affected by conflict or displacement, and communities are assisted to rebuild coping capacities.                                                                                                                                             Obj. 2:  GBV and child protection response services are available in counties heavily affected by conflict or displacement.                                                                                                                                        Obj. 3: Individuals’ right to freedom of movement and to live in safety and dignity is enhanced by protection partners"
49374,"X - Emergency education services for up to 45,000 Palestine refugee school children in Syria","Increase safe and equitable access to formal and non-formal education for up to 45,000 crisis-affected Palestine refugee children"
49296,Strenghtening Gender Based Violence (GBV) Response for Internally Displaced People (IDPs) and Conflict Affected Communities in Rakhine State,.
52247,Plan International requirements for wash,n/a
49839,Strengthening equitable access to quality learning for school-age children in Syria,"In line with the No Lost Generation (NLG) initiative, UNICEF aims to expand equitable access to quality learning and skills development for the most disadvantaged children, adolescents and youth (Adolescents are defined as 10 19 years, Youth are defined as 15 24 years), in particular those who are displaced and out of school. Based on the latest education sector analysis, UNICEF will maintain the following three priority areas:  
a) Scaling up equitable access to education
b) Enhancing the quality of education services
c) Strengthening education systems
Vulnerable children, adolescents and youth often face multiple complex barriers to formal schooling. It is therefore critical to strengthen a knowledge/evidence base and address education barriers at upstream and downstream levels. UNICEF remains committed to the No Lost Generation Initiative, where UNICEF increases cross sectorial synergies with Child Protection, Adolescent Development and Participation (ADAP), Communication for Development (C4D), and Water, Sanitation and Hygiene (WASH). 
For greater equity and impartiality, UNICEF will advocate for wider humanitarian access and try to reach the most marginalized in government controlled, opposition controlled, hard to reach and besieged areas. UNICEF will also reinforce cross border coordination with Damascus, Amman and Gaziantep hubs in a Whole of Syria approach.  
In addition, UNICEF will attempt to bridge the gap between immediate humanitarian action and long term sustainable development. UNICEF will strengthen partnerships with local authorities, NGOs, communities, schools and youth volunteers in view of resilience building and early recovery. To enhance inter agency collaboration, UNICEF will coordinate with other UN agencies to leverage resources in the selected communities and schools. UNICEF will lead the ESWG in Syria, Amman and Gaziantep for timely information sharing, contextually relevant, collective and effective education response."
48150,"Comprehensive WASH response to affected population in camps, host communities and in areas of return.","Objective 1: All vulnerable people have safe and equitable access to a sufficient quantity of water for domestic needs.
Objective 2: All vulnerable people have access to improved sanitation facilities and are adopting safe hygiene practices.
Objective 3: Strengthen capacities of WASH stakeholders and communities to withstand crisis through improved coordination, planning and preparedness"
48130,"Strengthening community based child protection services for unaccompanied, separated and high risk  boys and girls and community based psychosocial support for conflict-affected boys, girls and families in Adamawa, Borno and Yobe States","Project Objectives

Unaccompanied, separated and high risk children have improved access to well coordinated child protection services, including family reunification, and communities are protective environments for children

Children and their families affected by the conflict have access to community based psychosocial support and psychological first aid 


Child Protection Sub-Sector Objectives 

Improve access to well-coordinated child protection services and psychosocial support activities for girls and boys impacted by the conflict, children at risk and survivors

Unaccompanied and separated children, and other children with protection concerns are assessed and receive holistic support through case management.
 
Protection Sector Objective   Targeted protection services are provided to vulnerable individuals and communities with critical protection needs."
48176,Improving access to quality integrated emergency primary health care services in North east Nigeria,"Support to the Borno, Yobe and Adamawa State Primary Health Care Development Agencies (SPHCDA) increase the access to primary health care services of IDP and host communities (including returnee host communities) in North East Nigeria  through the well-equipped  health facilities, outreach services as well as immunization of children aged to 6 months to 15 years old affected by the Boko Haram crisis."
49227,"Emergency  primary  health assistance for  conflict affected and displaced populations in Malakal, Awerial,Pochalla and Akobo","1) Improve access and scale-up responsiveness to an integrated essential lifesaving healthcare package with integrated mental health and psycosocial support services focusing on the major causes of mortality among U5C (malaria, diarrhea, pneumonia and measles), SAM with complications, emergency HIV/AIDS and Tuberculosis, basic emergency obstetric and neonatal care  and clinical management of SGBV in conflict affected and vulnerable populations"
