id,decision
271404,Decision: exclude; judgement; includes other elements which are not cash
271406,Decision: exclude; judgement; includes other elements which are not cash
271407,Decision: exclude; judgement; includes other elements which are not cash
271522,Decision: accept; judgement
271949,Decision: exclude; judgement; includes other elements which are not cash
272572,Decision: exclude; judgement
272572,Decision: exclude; judgement
273627,Decision: exclude; judgement; includes other elements which are not cash
273628,Decision: exclude; judgement; includes other elements which are not cash
273645,Decision: exclude; judgement; includes other elements which are not cash
273652,Decision: exclude; judgement; includes other elements which are not cash
273688,Decision: exclude; judgement; includes other elements which are not cash
273689,Decision: exclude; judgement; includes other elements which are not cash
273929,Decision: exclude; judgement
274090,Decision: exclude; judgement
274456,Decision: exclude; judgement; includes other elements which are not cash
274456,Decision: exclude; judgement; includes other elements which are not cash
274515,Decision: accept; judgement
274585,Decision: accept; judgement
274870,Decision: exclude; judgement
274871,Decision: exclude; judgement
274872,Decision: exclude; judgement
275268,Decision: exclude; judgement
275735,Decision: accept; judgement
276576,Decision: exclude; judgement; includes other elements which are not cash
276576,Decision: exclude; judgement; includes other elements which are not cash
276579,Decision: exclude; judgement; includes other elements which are not cash
276580,Decision: exclude; judgement; includes other elements which are not cash
276583,Decision: exclude; judgement; includes other elements which are not cash
276583,Decision: exclude; judgement; includes other elements which are not cash
276584,Decision: exclude; judgement; includes other elements which are not cash
276585,Decision: exclude; judgement; includes other elements which are not cash
276732,Decision: exclude; judgement; includes other elements which are not cash
277683,Decision: exclude; judgement; includes other elements which are not cash
277865,Decision: exclude; judgement
277872,Decision: exclude; judgement
277948,Decision: accept; judgement
278530,Decision: exclude; judgement
278531,Decision: exclude; judgement
278532,Decision: exclude; judgement
278550,Decision: exclude; judgement
278551,Decision: exclude; judgement
278593,Decision: exclude; judgement; includes other elements which are not cash
278675,Decision: exclude; judgement
278676,Decision: exclude; judgement
278701,Decision: exclude; judgement
278702,Decision: exclude; judgement
278704,Decision: exclude; judgement
278705,Decision: exclude; judgement
278706,Decision: exclude; judgement
278707,Decision: exclude; judgement
278758,Decision: exclude; judgement
279406,Decision: exclude; judgement
279789,Decision: exclude; judgement
279790,Decision: exclude; judgement
279791,Decision: exclude; judgement
280684,Decision: exclude; judgement; includes other elements which are not cash
280701,Decision: exclude; judgement; includes other elements which are not cash
280702,Decision: exclude; judgement; includes other elements which are not cash
280823,Decision: exclude; judgement; includes other elements which are not cash
281076,Decision: exclude; judgement
281101,Decision: exclude; judgement; includes other elements which are not cash
281312,Decision: accept; judgement
281312,Decision: accept; judgement
281584,Decision: accept; judgement
281904,Decision: exclude; judgement; includes other elements which are not cash
281904,Decision: exclude; judgement; includes other elements which are not cash
283684,Decision: exclude; judgement; includes other elements which are not cash
284233,Decision: exclude; judgement
284234,Decision: accept; judgement
285459,Decision: exclude; judgement; includes other elements which are not cash
287806,Decision: exclude; judgement
287928,Decision: accept; judgement
288702,Decision: exclude; judgement; includes other elements which are not cash
