date,value,@OBS_STATUS,freq,ref_area,indicator,unit_mult,time_format
2024,606.345297609063,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1950,0.716075904558207,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1951,0.716332378736149,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1952,0.716845878649406,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1953,0.711997152519399,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1954,0.713012478227454,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1955,0.717360115291376,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1956,0.716332378736149,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1957,0.71689695714004,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1958,0.712705534104152,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1959,0.713001902374084,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1960,0.713320882169215,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1961,0.714694435086178,B,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1962,0.713265494271677,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1963,0.715287185250261,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1964,0.717258646245895,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1965,0.71633440114268,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1966,0.716983431633873,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1967,0.717049619137688,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1968,0.716998156110197,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1969,0.718057125427679,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1970,0.716413520036936,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1971,0.712443761749149,B,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1972,0.772828411038462,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1973,0.694114137583751,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1974,0.679477003570251,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1975,0.739507700509474,B,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1976,0.869564999,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1977,0.841959665666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1978,0.828156999,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1979,0.815006665666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1980,0.777224999,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1981,0.836738332333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1982,1.0296608325,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1983,1.0969258325,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1984,1.29837333291667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1985,1.90256666641667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1986,1.8791441665,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1987,1.67894083333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1988,1.8285875,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1989,2.01488583333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1990,1.86046583333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1991,2.02155666666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1992,2.109725,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1993,2.423075,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1994,2.6846455,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1995,2.77220666666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1996,3.32419666666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1997,3.65076333333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1998,4.22588,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1999,4.62439525,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2000,5.10224166666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
