DATAFLOW,FREQ,iso3,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,year,value,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1989,0.96151,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1990,0.826278,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1991,0.848522,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1992,0.798626,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1993,0.845344,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1994,0.830056,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1995,0.732651,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1996,0.769355,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1997,0.886917,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1998,0.899622,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1999,0.938283,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2000,1.082705,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2001,1.116533,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2002,1.057559,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2003,0.884048,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2004,0.803922,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2005,0.8038,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2006,0.796433,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2007,0.729672,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2008,0.679923,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2009,0.716958,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2010,0.754309,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2011,0.718414,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2012,0.778338,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2013,0.752945,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2014,0.752728,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2015,0.901296,,F,6,A,0,EUR
